model_name,batch_size,input_shape,total_parameters,trainable_parameters,model_size_mb,device,execution_time_ms,execution_time_std,timing_cv,peak_memory_mb,gpu_name,tflops_fp32,memory_bandwidth_gbps,sm_count,weight_memory_mb,activation_memory_mb,gpu_utilization_percent,memory_utilization_percent,memory_used_mb,memory_total_mb,flops,compute_memory_ratio,memory_read_write_ratio,num_conv_layers,num_fc_layers,num_bn_layers,avg_conv_kernel_size,max_conv_channels,total_conv_params,max_fc_size,total_fc_params,model_depth
alexnet,1,"(1, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,1.274880051612854,0.1501260935930949,0.1177570340073719,247.69287109375,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
alexnet,2,"(2, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,1.5482879877090454,0.0276093083902977,0.0178321530680803,248.13134765625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
alexnet,4,"(4, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,1.9701759815216064,0.0258486563840997,0.0131199733559518,251.15771484375,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
alexnet,8,"(8, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,3.201024055480957,0.0374655360475377,0.0117042344569036,264.3642578125,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
alexnet,16,"(16, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,4.666368007659912,0.0374395714487346,0.008023278787116,271.12890625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
alexnet,32,"(32, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,8.126463890075684,0.0446329151059094,0.0054922923069179,301.04296875,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
alexnet,64,"(64, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,12.320768356323242,0.4722901696351683,0.0383328503528581,360.50390625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
alexnet,128,"(128, 3, 224, 224)",61100840,61100840.0,233.08120727539065,cuda,29.657087326049805,0.2630164327981553,0.0088685861125387,602.76318359375,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,1428413824.0,5.844493398126769,0.5,5,3,0,5.0,384,2469696,4096,58631144,23
bert-base,1,"(128,)",109482240,109482240.0,417.6494140625,cuda,11.858911991119385,3.090095355354644,0.2605715732950972,432.23095703125,RTX Baseline,12.74,360.0,28.0,417.6416015625,14.58935546875,8.0,9.0,6028.8125,6144.0,0.0,0.0,0.5,0,73,0,0.0,0,0,3072,85608192,227
bert-base,2,"(128,)",109482240,109482240.0,417.6494140625,cuda,42.890750885009766,4.324165140039031,0.1008181263025987,436.02734375,RTX Baseline,12.74,360.0,28.0,417.6416015625,18.3857421875,98.0,9.0,6028.78125,6144.0,0.0,0.0,0.5,0,73,0,0.0,0,0,3072,85608192,227
bert-base,4,"(128,)",109482240,109482240.0,417.6494140625,cuda,87.7306900024414,11.24279109816165,0.1281511760333884,445.2802734375,RTX Baseline,12.74,360.0,28.0,417.6416015625,27.638671875,98.0,10.0,6031.5,6144.0,0.0,0.0,0.5,0,73,0,0.0,0,0,3072,85608192,227
bert-base,8,"(128,)",109482240,109482240.0,417.6494140625,cuda,102.4000015258789,4.041788382840934,0.0394705890876379,460.7861328125,RTX Baseline,12.74,360.0,28.0,417.6416015625,43.14453125,100.0,14.0,6029.96875,6144.0,0.0,0.0,0.5,0,73,0,0.0,0,0,3072,85608192,227
bert-base,16,"(128,)",109482240,109482240.0,417.6494140625,cuda,203.6761245727539,5.642476771189084,0.0277031821132568,493.2978515625,RTX Baseline,12.74,360.0,28.0,417.6416015625,75.65625,100.0,13.0,6027.28125,6144.0,0.0,0.0,0.5,0,73,0,0.0,0,0,3072,85608192,227
bert-base,32,"(128,)",109482240,109482240.0,417.6494140625,cuda,420.6079864501953,68.8275345297866,0.1636382017148714,559.3212890625,RTX Baseline,12.74,360.0,28.0,417.6416015625,141.6796875,100.0,6.0,6066.46875,6144.0,0.0,0.0,0.5,0,73,0,0.0,0,0,3072,85608192,227
bert-base,64,"(128,)",109482240,109482240.0,417.6494140625,cuda,807.5155944824219,365.0987380823239,0.4521259286836216,691.3681640625,RTX Baseline,12.74,360.0,28.0,417.6416015625,273.7265625,100.0,12.0,6021.59375,6144.0,0.0,0.0,0.5,0,73,0,0.0,0,0,3072,85608192,227
